<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.04.27;16:25:00;6247.457;6248.086;6239.915;6242.429;6367;20518;1
2022.04.27;16:30:00;6243.058;6248.714;6241.801;6248.714;5811;18256;1
2022.04.27;16:35:00;6248.714;6249.972;6243.686;6248.714;6651;25417;1
2022.04.27;16:40:00;6248.714;6250.600;6237.401;6237.401;8923;29810;1
2022.04.27;16:45:00;6237.401;6244.943;6235.516;6243.058;7414;21875;1
2022.04.27;16:50:00;6243.686;6252.486;6243.686;6251.229;7921;25126;1
2022.04.27;16:55:00;6250.600;6251.857;6246.200;6251.229;3820;10812;1
2022.04.27;17:00:00;6250.600;6251.229;6241.801;6245.572;5499;19978;1
2022.04.27;17:05:00;6245.572;6246.200;6236.773;6238.030;5366;16202;1
2022.04.27;17:10:00;6237.401;6239.287;6233.002;6236.144;4658;16144;1
2022.04.27;17:15:00;6235.516;6238.658;6232.373;6233.630;3770;11875;1
2022.04.27;17:20:00;6233.002;6238.658;6233.002;6238.030;2787;8621;1
2022.04.27;17:25:00;6237.401;6244.315;6236.144;6238.658;5140;15463;1
2022.04.27;17:30:00;6238.658;6243.686;6236.773;6240.544;3277;9556;1
2022.04.27;17:35:00;6240.544;6243.058;6238.658;6239.287;2216;5321;1
2022.04.27;17:40:00;6239.915;6241.172;6236.144;6239.915;2943;8283;1
2022.04.27;17:45:00;6239.915;6243.686;6237.401;6242.429;2079;6662;1
2022.04.27;17:50:00;6242.429;6247.457;6241.801;6246.829;1963;6796;1
2022.04.27;17:55:00;6246.200;6258.142;6246.200;6246.829;2048;11909;1
2022.04.28;09:00:00;6270.713;6301.510;6268.199;6291.454;31517;84582;1
2022.04.28;09:05:00;6291.454;6293.339;6280.769;6282.026;14503;37513;1
2022.04.28;09:10:00;6282.654;6296.482;6275.741;6292.082;24830;60619;1
2022.04.28;09:15:00;6292.082;6304.652;6280.769;6303.395;31024;76728;1
2022.04.28;09:20:00;6303.395;6309.681;6294.596;6300.881;32273;80713;1
2022.04.28;09:25:00;6301.510;6309.681;6298.996;6304.652;18551;44745;1
2022.04.28;09:30:00;6304.652;6305.910;6280.769;6288.311;41570;110623;1
2022.04.28;09:35:00;6287.683;6298.996;6285.168;6290.197;22645;57231;1
2022.04.28;09:40:00;6290.197;6295.853;6278.883;6287.683;27455;69055;1
2022.04.28;09:45:00;6287.054;6304.024;6287.054;6295.225;21383;56469;1
2022.04.28;09:50:00;6295.225;6306.538;6288.940;6305.910;22046;58849;1
2022.04.28;09:55:00;6305.910;6313.452;6298.367;6305.281;27329;65594;1
2022.04.28;10:00:00;6305.281;6308.424;6292.082;6295.853;23549;66046;1
2022.04.28;10:05:00;6295.853;6298.996;6281.397;6297.110;23500;61465;1
2022.04.28;10:10:00;6297.110;6305.281;6293.968;6302.138;16606;39542;1
2022.04.28;10:15:00;6302.767;6303.395;6288.311;6296.482;15373;38078;1
2022.04.28;10:20:00;6295.853;6302.138;6292.711;6297.739;11036;31005;1
2022.04.28;10:25:00;6297.739;6304.652;6297.739;6302.767;6896;19831;1
2022.04.28;10:30:00;6302.767;6312.823;6298.367;6301.510;24042;68773;1
2022.04.28;10:35:00;6301.510;6307.795;6292.711;6305.910;20194;55761;1
2022.04.28;10:40:00;6305.910;6319.737;6300.881;6316.594;23279;62039;1
2022.04.28;10:45:00;6316.594;6325.394;6310.938;6323.508;26557;67114;1
2022.04.28;10:50:00;6324.137;6327.908;6314.709;6324.765;20850;58467;1
2022.04.28;10:55:00;6324.765;6326.022;6315.966;6317.223;14426;42379;1
2022.04.28;11:00:00;6317.223;6327.908;6316.594;6320.994;16169;49624;1
2022.04.28;11:05:00;6320.994;6324.137;6310.309;6313.452;21291;69712;1
2022.04.28;11:10:00;6314.080;6324.765;6310.309;6322.251;14160;37770;1
2022.04.28;11:15:00;6322.251;6331.050;6320.365;6326.651;19778;59483;1
2022.04.28;11:20:00;6326.651;6331.050;6319.108;6330.422;13665;37899;1
2022.04.28;11:25:00;6331.050;6336.078;6326.022;6334.193;15957;48461;1
2022.04.28;11:30:00;6334.193;6338.592;6329.793;6334.821;15662;52517;1
2022.04.28;11:35:00;6334.193;6336.707;6327.908;6333.564;9673;32609;1
2022.04.28;11:40:00;6334.193;6342.364;6332.307;6338.592;15393;49185;1
2022.04.28;11:45:00;6338.592;6344.878;6338.592;6339.221;10451;28034;1
2022.04.28;11:50:00;6339.221;6344.878;6326.651;6327.279;17507;51954;1
2022.04.28;11:55:00;6326.651;6328.536;6317.223;6317.851;17934;57122;1
2022.04.28;12:00:00;6317.851;6320.365;6309.052;6310.309;14972;52169;1
2022.04.28;12:05:00;6309.681;6311.566;6299.624;6307.167;18850;60420;1
2022.04.28;12:10:00;6306.538;6313.452;6303.395;6303.395;13109;44141;1
2022.04.28;12:15:00;6304.024;6309.052;6291.454;6292.711;16473;46450;1
2022.04.28;12:20:00;6292.711;6300.881;6292.082;6299.624;10087;28760;1
2022.04.28;12:25:00;6299.624;6303.395;6292.082;6293.968;9792;26588;1
2022.04.28;12:30:00;6293.968;6295.225;6286.426;6293.968;15779;48132;1
2022.04.28;12:35:00;6293.968;6298.996;6292.082;6296.482;8581;21416;1
2022.04.28;12:40:00;6296.482;6302.138;6292.711;6293.968;9021;22848;1
2022.04.28;12:45:00;6293.339;6293.968;6282.654;6285.797;11873;34668;1
2022.04.28;12:50:00;6285.797;6292.711;6284.540;6290.197;7138;19697;1
2022.04.28;12:55:00;6290.825;6292.082;6282.654;6283.911;6744;22362;1
2022.04.28;13:00:00;6284.540;6287.054;6274.484;6276.998;11101;35446;1
2022.04.28;13:05:00;6276.998;6277.626;6273.227;6276.369;9163;33630;1
2022.04.28;13:10:00;6276.369;6276.369;6267.570;6268.827;10791;36943;1
2022.04.28;13:15:00;6269.456;6271.341;6263.799;6265.684;11132;34939;1
2022.04.28;13:20:00;6265.684;6266.313;6255.000;6256.257;13535;44560;1
2022.04.28;13:25:00;6256.257;6262.542;6253.743;6256.885;9200;27562;1
2022.04.28;13:30:00;6256.885;6264.427;6255.628;6258.771;7677;22772;1
2022.04.28;13:35:00;6259.399;6260.028;6251.857;6258.142;8706;27279;1
2022.04.28;13:40:00;6257.514;6258.142;6247.457;6251.229;10391;31564;1
2022.04.28;13:45:00;6250.600;6251.857;6241.801;6251.229;12082;34714;1
2022.04.28;13:50:00;6250.600;6258.771;6249.972;6254.371;9700;30352;1
2022.04.28;13:55:00;6254.371;6268.199;6253.743;6261.913;11797;39586;1
2022.04.28;14:00:00;6261.913;6268.827;6260.028;6261.913;8226;24677;1
2022.04.28;14:05:00;6261.913;6266.313;6255.628;6256.885;9158;27208;1
2022.04.28;14:10:00;6256.885;6256.885;6248.086;6251.857;11112;36034;1
2022.04.28;14:15:00;6251.857;6256.885;6246.829;6252.486;8673;27722;1
2022.04.28;14:20:00;6251.857;6260.656;6251.229;6259.399;9036;23916;1
2022.04.28;14:25:00;6260.028;6260.028;6249.343;6249.972;7008;17258;1
2022.04.28;14:30:00;6250.600;6253.114;6247.457;6251.857;6021;18178;1
2022.04.28;14:35:00;6251.229;6253.114;6247.457;6250.600;4581;11526;1
2022.04.28;14:40:00;6251.229;6257.514;6248.714;6248.714;7906;24060;1
2022.04.28;14:45:00;6249.343;6252.486;6246.829;6250.600;5247;14872;1
2022.04.28;14:50:00;6250.600;6263.170;6248.086;6260.028;12170;38355;1
2022.04.28;14:55:00;6259.399;6262.542;6255.000;6255.628;5643;19798;1
2022.04.28;15:00:00;6255.628;6257.514;6251.857;6253.114;5416;16824;1
2022.04.28;15:05:00;6253.114;6256.257;6251.229;6255.000;4283;14799;1
2022.04.28;15:10:00;6255.000;6256.885;6248.086;6253.114;6058;18357;1
2022.04.28;15:15:00;6253.114;6259.399;6251.857;6255.628;5276;16756;1
2022.04.28;15:20:00;6255.000;6258.771;6242.429;6249.343;10032;31661;1
2022.04.28;15:25:00;6248.714;6249.972;6241.172;6243.058;9505;27918;1
2022.04.28;15:30:00;6243.058;6249.343;6241.172;6248.714;8081;27225;1
2022.04.28;15:35:00;6248.086;6254.371;6247.457;6254.371;6034;18882;1
2022.04.28;15:40:00;6254.371;6258.771;6251.229;6251.229;7690;26009;1
2022.04.28;15:45:00;6251.229;6256.257;6248.086;6248.086;6154;19349;1
2022.04.28;15:50:00;6248.714;6248.714;6241.172;6244.315;8868;28537;1
2022.04.28;15:55:00;6244.315;6246.829;6241.172;6243.058;6629;23465;1
2022.04.28;16:00:00;6243.686;6248.086;6235.516;6240.544;9600;28626;1
2022.04.28;16:05:00;6240.544;6241.172;6232.373;6233.630;8416;27889;1
2022.04.28;16:10:00;6233.630;6235.516;6227.973;6232.373;9093;25521;1
2022.04.28;16:15:00;6231.745;6236.144;6230.488;6233.002;5833;16394;1
2022.04.28;16:20:00;6233.002;6234.259;6216.660;6220.431;12726;48997;1
2022.04.28;16:25:00;6219.803;6220.431;6207.232;6209.118;13231;47564;1
2022.04.28;16:30:00;6209.118;6212.889;6207.861;6209.118;8451;29809;1
2022.04.28;16:35:00;6209.118;6219.174;6209.118;6217.917;8364;29223;1
2022.04.28;16:40:00;6217.289;6222.317;6209.746;6220.431;9073;27389;1
2022.04.28;16:45:00;6221.060;6221.688;6214.775;6214.775;5186;14048;1
2022.04.28;16:50:00;6215.403;6217.917;6211.632;6212.261;5084;14984;1
2022.04.28;16:55:00;6212.889;6214.775;6207.232;6212.261;5737;17305;1
2022.04.28;17:00:00;6212.889;6228.602;6212.261;6225.459;9496;31487;1
